population,fish_id,treatment,temperature,bw,mmr_bw,mmr_unscaled,mmr_scaled_74
Siletz,A01,Ambient,16,0.0442,11.58291131,0.51196468,13.43269392
Siletz,A02,Ambient,16,0.0391,12.1152201,0.473705106,13.60920836
Siletz,A03,Ambient,16,0.0363,11.11363826,0.403425069,12.24524777
Siletz,A04,Ambient,16,0.0226,9.829773982,0.222152892,9.575188317
Siletz,A05,Ambient,16,0.0163,14.30022012,0.233093588,12.79520055
Siletz,A06,Ambient,16,0.0217,13.63691876,0.295921137,13.14411595
Siletz,A08,Ambient,16,0.0175,12.176986,0.213097255,11.09852583
Siletz,A10,Ambient,16,0.0132,15.19820182,0.200616264,12.87291872
Siletz,1901,Inermediate_1,19,0.0222,16.33825369,0.362709232,15.8413798
Siletz,1902,Inermediate_1,19,0.0173,18.42858145,0.318814459,16.74632405
Siletz,1903,Inermediate_1,19,0.0205,16.61245073,0.34055524,15.77703204
Siletz,1904,Inermediate_1,19,0.0278,11.09861525,0.308541504,11.40922227
Siletz,1905,Inermediate_1,19,0.0215,13.60792535,0.292570395,13.08463208
Siletz,1906,Inermediate_1,19,0.0201,13.53223766,0.271997977,12.78604384
Siletz,1907,Inermediate_1,19,0.0266,12.57333444,0.334450696,12.77777659
Siletz,1908,Inermediate_1,19,0.0177,15.9397009,0.282132706,14.57098177
Siletz,1909,Inermediate_1,19,0.0295,14.61567271,0.431162345,15.25836963
Siletz,1910,Inermediate_1,19,0.0226,10.67082292,0.241160598,10.39445456
Siletz,2202,Inermediate_2,22,0.0195,10.08200615,0.19659912,9.451300136
Siletz,2203,Inermediate_2,22,0.0217,22.65883433,0.491696705,21.84000295
Siletz,2204,Inermediate_2,22,0.0323,8.546715046,0.276058896,9.135398108
Siletz,2205,Inermediate_2,22,0.0213,12.75892563,0.271765116,12.23850588
Siletz,2207,Inermediate_2,22,0.041,10.68159024,0.4379452,12.14773514
Siletz,2208,Inermediate_2,22,0.0229,12.70584651,0.290963885,12.41928026
Siletz,2209,Inermediate_2,22,0.0236,11.10203195,0.262007954,10.93692393
Siletz,2210,Inermediate_2,22,0.0151,11.41723086,0.172400186,10.01452573
Siletz,2501,Warm,25,0.0163,14.09135945,0.229689159,12.60832132
Siletz,2502,Warm,25,0.0223,11.80615314,0.263277215,11.46049232
Siletz,2503,Warm,25,0.0354,11.53746017,0.40842609,12.62951464
Siletz,2504,Warm,25,0.04,8.6035605,0.34414242,9.721861114
Siletz,2506,Warm,25,0.0171,10.17383637,0.173972602,9.217206874
Siletz,2507,Warm,25,0.0226,10.63087115,0.240257688,10.35553751
Siletz,2508,Warm,25,0.0188,13.3784783,0.251515392,12.42291052
Siletz,2509,Warm,25,0.0221,12.78033624,0.282445431,12.37712762
Siletz,2510,Warm,25,0.0181,9.551545525,0.172882974,8.782247602
