ID,fas_available,time_round,min_start_real,temp
JD_A105,7.919124746,65,Max,19
JD_A106,5.612222975,65,Max,19
JD_A109,4.703934027,65,Max,19
JD_A201,4.683184952,65,Max,19
JD_A202,7.633705407,65,Max,19
JD_A203,5.961674053,65,Max,19
JD_A204,6.323757143,65,Max,19
JD_A205,2.548208588,65,Max,19
JD_A206,4.986384445,65,Max,19
JD_A207,3.99935522,65,Max,19
JD_A208,5.260547152,65,Max,19
JD_2201,3.927439529,65,Max,22
JD_2202,3.463310258,65,Max,22
JD_2203,3.855123271,65,Max,22
JD_2204,4.517984202,65,Max,22
JD_2205,3.280306831,65,Max,22
JD_2206,3.717399236,65,Max,22
JD_2207,4.658149813,65,Max,22
JD_2208,3.069108262,65,Max,22
JD_2209,3.021194981,65,Max,22
JD_2601,1.5629249,65,Max,27
JD_2602,2.007835324,65,Max,27
JD_2603,2.60397808,65,Max,27
JD_2604,1.292287402,65,Max,27
JD_2605,3.453360445,65,Max,27
JD_2606,1.625348416,65,Max,27
JD_2607,1.595780635,65,Max,27
JD_2608,1.631281643,65,Max,27
JD_2610,4.168805538,65,Max,27
