temp,ID,fas_available,time_round
16,NU_A01,5.103392794,65
16,NU_A02,2.957962143,65
16,NU_A03,6.857488546,65
16,NU_A05,3.498835455,65
16,NU_A07,6.080649483,65
16,NU_A08,5.600027045,65
16,NU_A09,5.394246221,65
16,NU_A10,5.588297633,65
16,NU_A11,4.858274918,65
16,NU_A12,5.807040927,65
25,NU_H01,2.971923202,65
25,NU_H02,1.862848621,65
25,NU_H03,2.724203921,65
25,NU_H05,2.869286731,65
25,NU_H06,2.52144232,65
25,NU_H07,2.405245665,65
25,NU_H08,2.528013909,65
25,NU_H09,2.783915789,65
25,NU_H10,1.892915554,65
25,NU_H11,2.46841577,65
25,NU_H12,2.644630119,65
22,NU_I01,3.084031546,65
22,NU_I02,3.113367883,65
22,NU_I03,4.294947488,65
22,NU_I05,3.998516556,65
22,NU_I06,3.620491127,65
22,NU_I07,2.575764367,65
22,NU_I08,3.931944606,65
22,NU_I09,2.515258427,65
22,NU_I10,3.685968721,65
22,NU_I11,3.506966927,65
22,NU_I12,2.106140148,65
19,NU_C01,3.959157866,65
19,NU_C02,4.41568981,65
19,NU_C03,5.404840766,65
19,NU_C05,5.07643223,65
19,NU_C06,4.566253184,65
19,NU_C07,3.069819464,65
19,NU_C08,3.942135905,65
19,NU_C09,5.30749893,65
19,NU_C10,3.943722639,65
19,NU_C11,4.387454417,65
19,NU_C12,3.552228639,65
